timestep,type,latitude,longitude,observation
0,farm,2.3,0.2,1
0,farm,2.3,0.3,1
0,farm,2.4,0.2,1
0,farm,2.4,0.3,1
0,farm,2.5,0.2,1
0,farm,2.5,0.3,1
0,farm,2.6,0.2,1
0,farm,2.6,0.3,1
0,farm,2.7,0.2,1
0,farm,2.7,0.3,1
0,farm,2.8,0.2,1
0,farm,2.8,0.3,1
0,farm,5.8,4.3,1
0,farm,5.8,4.4,1
0,farm,5.8,4.5,1
0,farm,5.9,4.3,1
0,farm,5.9,4.4,1
0,farm,5.9,4.5,1
0,farm,6.0,4.3,1
0,farm,6.0,4.4,1
0,farm,6.0,4.5,1
0,farm,6.1,4.3,1
0,farm,6.1,4.4,1
0,farm,6.1,4.5,1
0,farm,7.9,6.1,1
0,farm,7.9,6.2,1
0,farm,7.9,6.3,1
0,farm,8.0,6.1,1
0,farm,8.0,6.2,1
0,farm,8.0,6.3,1
0,farm,8.1,6.1,1
0,farm,8.1,6.2,1
0,farm,8.1,6.3,1
0,farm,8.2,6.1,1
0,farm,8.2,6.2,1
0,farm,8.2,6.3,1
0,farm,8.3,6.1,1
0,farm,8.3,6.2,1
0,farm,8.3,6.3,1
0,farm,8.4,6.1,1
0,farm,8.4,6.2,1
0,farm,8.4,6.3,1
0,farm,0.1,4.1,1
0,farm,0.1,4.2,1
0,farm,0.1,4.3,1
0,farm,0.1,4.4,1
0,farm,0.1,4.5,1
0,farm,0.1,4.6,1
0,farm,0.1,4.7,1
0,farm,0.2,4.1,1
0,farm,0.2,4.2,1
0,farm,0.2,4.3,1
0,farm,0.2,4.4,1
0,farm,0.2,4.5,1
0,farm,0.2,4.6,1
0,farm,0.2,4.7,1
0,farm,4.0,2.7,1
0,farm,4.0,2.8,1
0,farm,4.0,2.9,1
0,farm,4.0,3.0,1
0,farm,4.1,2.7,1
0,farm,4.1,2.8,1
0,farm,4.1,2.9,1
0,farm,4.1,3.0,1
0,farm,4.2,2.7,1
0,farm,4.2,2.8,1
0,farm,4.2,2.9,1
0,farm,4.2,3.0,1
0,farm,4.3,2.7,1
0,farm,4.3,2.8,1
0,farm,4.3,2.9,1
0,farm,4.3,3.0,1
0,farm,4.4,2.7,1
0,farm,4.4,2.8,1
0,farm,4.4,2.9,1
0,farm,4.4,3.0,1
0,farm,9.6,4.6,1
0,farm,9.6,4.7,1
