"","objectid_well","year_obs","lat","lon","district","season","well.level","time"
"1",10771,1994,25.74583333,71.66277778,"Barmer","pomr",45.41,1
"2",10771,1994,25.74583333,71.66277778,"Barmer","prm",48.21,2
"3",10771,1994,25.74583333,71.66277778,"Barmer","mo",48,3
"4",10771,1994,25.74583333,71.66277778,"Barmer","pomk",47.4,4
"5",10771,1995,25.74583333,71.66277778,"Barmer","pomr",47.33,5
"6",10771,1995,25.74583333,71.66277778,"Barmer","prm",NA,6
"7",10771,1995,25.74583333,71.66277778,"Barmer","mo",47.61,7
"8",10771,1995,25.74583333,71.66277778,"Barmer","pomk",47.58,8
"9",10771,1996,25.74583333,71.66277778,"Barmer","pomr",47.54,9
"10",10771,1996,25.74583333,71.66277778,"Barmer","prm",47.6,10
"11",10771,1996,25.74583333,71.66277778,"Barmer","mo",48.05,11
"12",10771,1996,25.74583333,71.66277778,"Barmer","pomk",49.1,12
"13",10771,1997,25.74583333,71.66277778,"Barmer","pomr",47.64,13
"14",10771,1997,25.74583333,71.66277778,"Barmer","prm",48.13,14
"15",10771,1997,25.74583333,71.66277778,"Barmer","mo",47.58,15
"16",10771,1997,25.74583333,71.66277778,"Barmer","pomk",49.1,16
"17",10771,1998,25.74583333,71.66277778,"Barmer","pomr",47.5,17
"18",10771,1998,25.74583333,71.66277778,"Barmer","prm",48.07,18
"19",10771,1998,25.74583333,71.66277778,"Barmer","mo",46.97,19
"20",10771,1998,25.74583333,71.66277778,"Barmer","pomk",48.3,20
"21",10771,1999,25.74583333,71.66277778,"Barmer","pomr",48.07,21
"22",10771,1999,25.74583333,71.66277778,"Barmer","prm",47.75,22
"23",10771,1999,25.74583333,71.66277778,"Barmer","mo",47.53,23
"24",10771,1999,25.74583333,71.66277778,"Barmer","pomk",47.5,24
"25",10771,2000,25.74583333,71.66277778,"Barmer","pomr",44.4,25
"26",10771,2000,25.74583333,71.66277778,"Barmer","prm",18.1,26
"27",10771,2000,25.74583333,71.66277778,"Barmer","mo",46.55,27
"28",10771,2000,25.74583333,71.66277778,"Barmer","pomk",NA,28
"29",10771,2001,25.74583333,71.66277778,"Barmer","pomr",NA,29
"30",10771,2001,25.74583333,71.66277778,"Barmer","prm",47.31,30
"31",10771,2001,25.74583333,71.66277778,"Barmer","mo",47.3,31
"32",10771,2001,25.74583333,71.66277778,"Barmer","pomk",46.86,32
"33",10771,2002,25.74583333,71.66277778,"Barmer","pomr",47.02,33
"34",10771,2002,25.74583333,71.66277778,"Barmer","prm",NA,34
"35",10771,2002,25.74583333,71.66277778,"Barmer","mo",NA,35
"36",10771,2002,25.74583333,71.66277778,"Barmer","pomk",NA,36
"37",10771,2010,25.74583333,71.66277778,"Barmer","pomr",NA,65
"38",10771,2010,25.74583333,71.66277778,"Barmer","prm",NA,66
"39",10771,2010,25.74583333,71.66277778,"Barmer","mo",40.43,67
"40",10771,2010,25.74583333,71.66277778,"Barmer","pomk",40.06,68
"41",10771,2011,25.74583333,71.66277778,"Barmer","pomr",39.83,69
"42",10771,2011,25.74583333,71.66277778,"Barmer","prm",60.38,70
"43",10771,2011,25.74583333,71.66277778,"Barmer","mo",40.23,71
"44",10771,2011,25.74583333,71.66277778,"Barmer","pomk",40.98,72
"45",10771,2012,25.74583333,71.66277778,"Barmer","pomr",40.73,73
"46",10771,2012,25.74583333,71.66277778,"Barmer","prm",38.43,74
"47",10771,2012,25.74583333,71.66277778,"Barmer","mo",NA,75
"48",10771,2012,25.74583333,71.66277778,"Barmer","pomk",37.89,76
"49",10771,2013,25.74583333,71.66277778,"Barmer","pomr",38.73,77
"50",10771,2013,25.74583333,71.66277778,"Barmer","prm",38.43,78
"51",10771,2013,25.74583333,71.66277778,"Barmer","mo",43.83,79
"52",10771,2013,25.74583333,71.66277778,"Barmer","pomk",40.13,80
"53",10771,2014,25.74583333,71.66277778,"Barmer","pomr",49.08,81
"54",10771,2014,25.74583333,71.66277778,"Barmer","prm",NA,82
"55",10771,2014,25.74583333,71.66277778,"Barmer","mo",40.46,83
"56",10771,2014,25.74583333,71.66277778,"Barmer","pomk",50.13,84
"57",10771,2015,25.74583333,71.66277778,"Barmer","pomr",40.23,85
"58",10771,2015,25.74583333,71.66277778,"Barmer","prm",42.36,86
"59",10771,2015,25.74583333,71.66277778,"Barmer","mo",NA,87
"60",10771,2015,25.74583333,71.66277778,"Barmer","pomk",39.73,88
"61",10771,2016,25.74583333,71.66277778,"Barmer","pomr",NA,89
"62",10771,2016,25.74583333,71.66277778,"Barmer","prm",40.73,90
"63",10771,2016,25.74583333,71.66277778,"Barmer","mo",40.63,91
"64",10771,2016,25.74583333,71.66277778,"Barmer","pomk",39.93,92
"65",10773,1994,25.875,71.54583333,"Barmer","pomr",6.72,1
"66",10773,1994,25.875,71.54583333,"Barmer","prm",6.9,2
"67",10773,1994,25.875,71.54583333,"Barmer","mo",6.33,3
"68",10773,1994,25.875,71.54583333,"Barmer","pomk",6.55,4
"69",10773,1995,25.875,71.54583333,"Barmer","pomr",6.55,5
"70",10773,1995,25.875,71.54583333,"Barmer","prm",6.74,6
"71",10773,1995,25.875,71.54583333,"Barmer","mo",6.6,7
"72",10773,1995,25.875,71.54583333,"Barmer","pomk",6.88,8
"73",10773,1996,25.875,71.54583333,"Barmer","pomr",7.07,9
"74",10773,1996,25.875,71.54583333,"Barmer","prm",7.08,10
"75",10773,1996,25.875,71.54583333,"Barmer","mo",7.1,11
"76",10773,1996,25.875,71.54583333,"Barmer","pomk",9.2,12
"77",10773,1997,25.875,71.54583333,"Barmer","pomr",7.19,13
"78",10773,1997,25.875,71.54583333,"Barmer","prm",7.34,14
"79",10773,1997,25.875,71.54583333,"Barmer","mo",8.5,15
"80",10773,1997,25.875,71.54583333,"Barmer","pomk",9.2,16
"81",10773,1998,25.875,71.54583333,"Barmer","pomr",7.48,17
"82",10773,1998,25.875,71.54583333,"Barmer","prm",9.1,18
"83",10773,1998,25.875,71.54583333,"Barmer","mo",7.95,19
"84",10773,1998,25.875,71.54583333,"Barmer","pomk",7.66,20
"85",10773,1999,25.875,71.54583333,"Barmer","pomr",7.74,21
"86",10773,1999,25.875,71.54583333,"Barmer","prm",7.7,22
"87",10773,1999,25.875,71.54583333,"Barmer","mo",7.87,23
"88",10773,1999,25.875,71.54583333,"Barmer","pomk",8.01,24
"89",10773,2000,25.875,71.54583333,"Barmer","pomr",8.18,25
"90",10773,2000,25.875,71.54583333,"Barmer","prm",9.9,26
"91",10773,2000,25.875,71.54583333,"Barmer","mo",7.9,27
"92",10773,2000,25.875,71.54583333,"Barmer","pomk",8.1,28
"93",10773,2001,25.875,71.54583333,"Barmer","pomr",8.3,29
"94",10773,2001,25.875,71.54583333,"Barmer","prm",8.13,30
"95",10773,2001,25.875,71.54583333,"Barmer","mo",7.1,31
"96",10773,2001,25.875,71.54583333,"Barmer","pomk",NA,32
"97",10773,2002,25.875,71.54583333,"Barmer","pomr",7.24,33
"98",10773,2002,25.875,71.54583333,"Barmer","prm",5.34,34
"99",10773,2002,25.875,71.54583333,"Barmer","mo",6.44,35
"100",10773,2002,25.875,71.54583333,"Barmer","pomk",7.54,36
"101",10773,2003,25.875,71.54583333,"Barmer","pomr",7.19,37
"102",10773,2003,25.875,71.54583333,"Barmer","prm",8.74,38
"103",10773,2003,25.875,71.54583333,"Barmer","mo",NA,39
"104",10773,2003,25.875,71.54583333,"Barmer","pomk",NA,40
"105",10773,2005,25.875,71.54583333,"Barmer","pomr",7.81,45
"106",10773,2005,25.875,71.54583333,"Barmer","prm",8.01,46
"107",10773,2005,25.875,71.54583333,"Barmer","mo",8.1,47
"108",10773,2005,25.875,71.54583333,"Barmer","pomk",8.23,48
"109",10773,2006,25.875,71.54583333,"Barmer","pomr",8.31,49
"110",10773,2006,25.875,71.54583333,"Barmer","prm",8.34,50
"111",10773,2006,25.875,71.54583333,"Barmer","mo",NA,51
"112",10773,2006,25.875,71.54583333,"Barmer","pomk",NA,52
"113",10773,2014,25.875,71.54583333,"Barmer","pomr",NA,81
"114",10773,2014,25.875,71.54583333,"Barmer","prm",NA,82
"115",10773,2014,25.875,71.54583333,"Barmer","mo",3.68,83
"116",10773,2014,25.875,71.54583333,"Barmer","pomk",NA,84
"117",10773,2015,25.875,71.54583333,"Barmer","pomr",NA,85
"118",10773,2015,25.875,71.54583333,"Barmer","prm",3.64,86
"119",10773,2015,25.875,71.54583333,"Barmer","mo",NA,87
"120",10773,2015,25.875,71.54583333,"Barmer","pomk",NA,88
"121",10781,1999,25.73055556,71.62083333,"Barmer","pomr",NA,21
"122",10781,1999,25.73055556,71.62083333,"Barmer","prm",63.6,22
"123",10781,1999,25.73055556,71.62083333,"Barmer","mo",63.82,23
"124",10781,1999,25.73055556,71.62083333,"Barmer","pomk",64.33,24
"125",10781,2000,25.73055556,71.62083333,"Barmer","pomr",NA,25
"126",10781,2000,25.73055556,71.62083333,"Barmer","prm",65.9,26
"127",10781,2000,25.73055556,71.62083333,"Barmer","mo",64.4,27
"128",10781,2000,25.73055556,71.62083333,"Barmer","pomk",64.6,28
"129",10781,2001,25.73055556,71.62083333,"Barmer","pomr",64.8,29
"130",10781,2001,25.73055556,71.62083333,"Barmer","prm",NA,30
"131",10781,2001,25.73055556,71.62083333,"Barmer","mo",63.7,31
"132",10781,2001,25.73055556,71.62083333,"Barmer","pomk",63,32
"133",10781,2002,25.73055556,71.62083333,"Barmer","pomr",62.09,33
"134",10781,2002,25.73055556,71.62083333,"Barmer","prm",64,34
"135",10781,2002,25.73055556,71.62083333,"Barmer","mo",64.1,35
"136",10781,2002,25.73055556,71.62083333,"Barmer","pomk",64.1,36
"137",10781,2003,25.73055556,71.62083333,"Barmer","pomr",NA,37
